"url","name","region","id","description","rating","cleanliness","accuracy","check_in","communication","guestSatisfaction","location","value","reviewCount","priceQualifier","cleaningFee","serviceFee","price","latitude","longitude"
"https://www.airbnb.com/rooms/1364333973626707144?search_mode=regular_search&adults=1&check_in=2025-03-14&check_out=2025-03-19&children=0&infants=0&pets=0&source_impression_id=p3_1741363945_P3bRj5f_8HVPo6J3&previous_page_section_name=1000","5 bed Guest house Borrowdale near Sam Levy village","Harare, Harare Province, Zimbabwe","1364333973626707144","Welcome to our guest house, which features comfortable ensuite double rooms and family rooms. Enjoy access to cosy lounge areas, a shared kitchen, Wi-Fi, and a TV. For your convenience, a fridge and microwave are available, allowing you to prepare meals and snacks with ease.Located just 7 minutes from Sam Levy's Village, our guest house is perfectly positioned near a variety of restaurants, including Ocean Basket, Garfunkels Grill, RocoMamas, Nandos, Pizza Inn, supermarkets - Pick and Pay SparThe spaceYour own room in the guest house and access to shared spacesGuest accessAccess to all spacesOther things to noteWe can assist with extra bedding on requestLAUNDRY SERVICEWashing machine is free to use. Laundry (washing, ironing) is provided at 5 dollars per day if requested.","5.0","5.0","5.0","5.0","5.0",5,"5.0","5.0",3,"$33","","","",-17.7327,31.1269
"https://www.airbnb.com/rooms/692557568986799025?search_mode=regular_search&adults=1&category_tag=Tag%3A8525&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&photo_id=1477830722&source_impression_id=p3_1741363945_P3a-LSsX_3Bg9i4w&previous_page_section_name=1000","Sunbird, Arlington, Airport Rd 1 Bed, en-suite","Harare, Harare Province, Zimbabwe","692557568986799025","1 bed en-suite with private bath. Unlimited WiFi, hybrid Solar system and free parking spaceOther things to noteThis listing has no kitchen. Only a coffee station and Fridge.","4.84","4.9","4.8","4.7","4.9",4.84,"4.8","4.9",236,"$36","","$28","$207",-17.87871,31.07958
"https://www.airbnb.com/rooms/593489833599473545?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-13&check_out=2025-03-18&children=0&infants=0&pets=0&photo_id=2007615687&source_impression_id=p3_1741363945_P3hIeRynlL46Xwxh&previous_page_section_name=1000","Julie's Space","","593489833599473545","A very quiet and welcoming place. Separated from the main house, the ensuite room has a bed, a smart tv, mini-fridge, fan, microwave and kettle. There is wifi access and parking space. Arundel Village shopping centre is a 5-minute drive away.The spaceNearby places include :-Arundel Village Shopping centre Veldemeers CafeThe Jam TreeMount Pleasant Sport's ClubSam Levy's VillageAlechi Restaurant Bond Shopping CentreThe Bridge Shopping CentreGuest accessCleaning is done everyday as part of the price, however, the following need extra payment Laundry $5 per loadUsing main kitchen to cook $5 per mealWe cook for you $10 per mealDuring your stayWe are available for airport pick-up and drop-off for a fee.Please do not hesitate to call or message for enquiries.Other things to noteThere are dogs on the property that help with security. If this makes you uncomfortable please alert us so we keep them away during your stay.","4.83","4.8","4.8","4.8","4.9",4.83,"4.8","4.9",41,"$20","$5","$16","$121",-17.7447,31.0565
"https://www.airbnb.com/rooms/1206273280376499850?search_mode=regular_search&adults=1&category_tag=Tag%3A8525&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&photo_id=2021296179&source_impression_id=p3_1741363945_P3wszYLMd9UfybIN&previous_page_section_name=1000","5 mins from RG Mugabe Airport","Harare, Harare Province, Zimbabwe","1206273280376499850","A simple and neat room within a big house with access to a full shared bathroom, dining room, kitchen & TV lounge with the host. Backed up with solar & a borehole with tank for your convenience. Make yourself at home in this once buzzing home which has become quiet since I lost my husband and all the kids left home leaving me an empty nester turned Airbnb host. Very family friendly setup too for when my grandkids are over, including a full playground with sandpit & baby cot if required.The spaceThis room is a bedroom within a full big family home and access to a shared full bathroom.Guest accessGuests are free to use shared spaces such as the Kitchen, Lounge & Dining room. Will also share an entrance with the host.During your stayI am currently living in the property, so i will be available if needed.","4.86","4.8","4.7","4.7","4.8",4.86,"4.8","4.9",42,"$23","","$18","$133",-17.8815,31.08062
"https://www.airbnb.com/rooms/1332447725219160964?search_mode=regular_search&adults=1&category_tag=Tag%3A677&check_in=2025-03-10&check_out=2025-03-15&children=0&infants=0&pets=0&photo_id=2084764811&source_impression_id=p3_1741363945_P3ZsHKkiqFSDSQrx&previous_page_section_name=1000","Executive 1 bedroom with ensuite","Harare, Harare Province, Zimbabwe","1332447725219160964","A peaceful own entrance with ensuite 1 bedroom apartment OffersFurnitureKing sized bedBar fridgeMicrowaveUtilitiesUnlimited WifiBorehole waterSolar Geyser5KVA Solar systemEntertainment Swimming PoolBarbecue AreaTV: Netflix & DSTVLarge Garden for eventsNearby sitesHaka Game Park (200m)Mbizi Game Park (3km)Queen of Harts (3km)AccessibilityCBD (12KM)Airport(20KM)Shopping Centre (3km)Rent a car on the house from our own wide range of vehicle from as little as USD35The spaceFeel at home with this 1 Bedroomed appartement own entrance stylish ensuit with shower and toiletGuest accessSwimming pool ,barbecue area large garden and a parking space","New","","","","","","","",1,"$25","","$20","$145",-17.82381,31.13942
"https://www.airbnb.com/rooms/13319026?search_mode=regular_search&adults=1&category_tag=Tag%3A5635&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&photo_id=554343931&source_impression_id=p3_1741363945_P393-4Xfh8W3ppOx&previous_page_section_name=1000","Vumba home from home","","13319026","A tranquil and relaxing retreat in its own right and ideally located for visiting local tourist attractions in the Vumba Mountains. A good spot for walkers and hikers, bird watchers and photographers. Perfect for couples, solo adventurers, families and groups.We are a 25 minute drive from Mutare and 35 minutes from the Mozambique border post on a well maintained tar road.The spaceThe house is breezy, open plan and comfortably furnished with a log fire for the cooler winter months. The veranda has fantastic views of Mozambique and the surrounding mountains and is a perfect place to relax and read a book from our selection in the library. The indigenous garden provides plenty of shade from the leafy trees and is a favourite for the abundant bird life. You will have exclusive use of the swimming pool which is ideal for cooling off on a hot summer day with a braai close by. We do provide firewood if you forget your charcoal.Please note the swimming pool is not fenced.Guest accessYou will have full access to the house and all its facilities. Covered parking is also provided close to the house. A house keeper will tidy up in the mornings and a night watchman remains on duty during the night. Laundry facilities are available on request.Other things to noteThere are two marked pathways meandering through the property along the mountain streams which offer a great opportunity to see our resident bushbuck. We also have a small woodworking studio on the property so please feel free to browse around our showroom.","4.96","5.0","4.9","5.0","5.0",4.96,"5.0","4.9",119,"$75, originally $150","","$59","$434",-19.03233,32.73618
"https://www.airbnb.com/rooms/36337446?search_mode=regular_search&adults=1&category_tag=Tag%3A8144&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&photo_id=954483467&source_impression_id=p3_1741363945_P3U4uKnWNCnstIAK&previous_page_section_name=1000","Acacia lodge,Lake Kariba","","36337446","Acacia lodge sits along the shores of Lake Kariba full of wildlife and fantastic fishing on your doorstep. It is in a complex with security provided. The house has three bedrooms, two bathrooms and sleeps six . The lodge is self-catering so you will need to bring all your food with you.Amenities include aircon ,fans ,washing machine ,barbeque and back up generator .It is serviced daily and all cooking is done by the chef. There is a splash pool at the lodge for those hot Kariba months.The spaceAcacia Lodge is situated in the heart of a national park and wildilfe is prolific it is not uncommon to see hippo and elephant wondering past the lodge at night.Other resident game in the area include Eland ,Buffalo ,Impala ,Bushbuck ,Waterbuck as well as the occasional lion , leopard and Hyaena to name a few.During the drier times there is an expansive flood plain in front of the lodge which offers fantastic veiws of game grazing and makes for great walks and birdwatching.When the lake is at it fullest the waters will literally be lapping the front lawn.Each room has an AC as well as a fan and there are two fridges , two deep freezes ,oven ,microwave ,washing machine ,gas cooker ,scottle ,barbeque ,nespresso coffee machine with frother , TV with satelite (guests are required to bring their own pvr decoder).There is a splash pool at the front of the lodge aswell as a large communal pool within the complex which also has a gazebo ,toilets and barbeque faciltys.For the fisherman there is a slipway to launch your boat (as well as a tractor run by the complex to assist in launching if need be )and secure harbour just in front of the lodge .Guest accessGuests will have the whole house to themselvesOther things to notePlease note, there is a TV and satellite dish, however guests will need to provide their own DSTV explora decoder. There is a DVD provided please can you bring your own dvd’s.There is a washing machine available but guests must supply their own washing powder.Unfortunetly there isnt wifi in the lodge but there is good phone signal and data usage isnt a problem.There is a nespresso machine and milk frother but pods are not provided. Guests to provide their own. Electricity in Kariba is fairly constant but in the event of a fault there is a back up generator that Freddy will run for you,guests are required to supply diesel in an event of a lengthly powercut.There is also a gas barbeque ,gas cooker and scottle braai for your conveinience. There are solar lights provided in each room incase of a power cut in the middle of the night .It is advised that guests bring their own torch to spot any animals wondering around at night !There is a small shop and fuel station at NAU about 2kms away where you can buy the basics.For a wider variety there is a supermarket at Nyamhunga township or kariba town Fred can give you directions.","4.93","4.9","4.9","4.9","5.0",4.93,"4.9","5.0",83,"$146","","$114","$843",-16.55941,28.94147
"https://www.airbnb.com/rooms/1189063324733424998?search_mode=regular_search&adults=1&category_tag=Tag%3A8102&check_in=2025-03-14&check_out=2025-03-19&children=0&infants=0&pets=0&photo_id=2017644910&source_impression_id=p3_1741363945_P31rii9nM-jCV39n&previous_page_section_name=1000","Cozy Container Cottage in Victoria Falls","Victoria Falls, Matabeleland North Province, Zimbabwe","1189063324733424998","Nestled within a secure private property, this charming container house offers a unique blend of comfort and functionality. Its compact design maximizes space efficiently while maintaining a cozy atmosphere. Just a 15-minute stroll from bustling Victoria Falls, residents can easily enjoy local attractions. One of the property’s most delightful features is the frequent visits from majestic animals just over the wall, creating a magical yet comfortable experience in the heart of nature.The spaceNestled on a secure private property, this cozy container cottage offers a peaceful retreat with both privacy and convenience. Set away from the main house, where the host’s family resides, the cottage is close to the main entry gate. While there may be occasional foot traffic, a privacy fence ensures a comfortable, secluded feel for our guests.Inside, you'll find thoughtfully designed spaces that maximize comfort in a small setting. The bedroom features a comfortable double bed, perfect for a restful night's sleep. The living room provides a cozy spot to unwind, complete with a smart TV, air conditioning, and a sofa that doubles as a single bed for added flexibility.The kitchenette is fully equipped with essentials, including a stove, microwave, mini fridge, and all necessary cooking utensils, so you can prepare meals with ease. The compact bathroom offers a shower and toilet, meeting all your basic needs.For a breath of fresh air, enjoy the charming outdoor deck area—a lovely spot to relax and soak in the surroundings.","4.79","4.9","4.8","4.9","5.0",4.79,"4.9","4.9",14,"$80","$20","","$420",-17.9224,25.8298
"https://www.airbnb.com/rooms/694168321637215458?search_mode=regular_search&adults=1&category_tag=Tag%3A8535&check_in=2025-04-23&check_out=2025-04-28&children=0&infants=0&pets=0&photo_id=1530856106&source_impression_id=p3_1741363945_P3Ul8ROz2l5iYhlU&previous_page_section_name=1000","Arlington Estate. Airport road. 2 Beds.Solar.WiFi","Harare, Harare Province, Zimbabwe","694168321637215458","Double gated security with 24/7 guards. Bring the whole family to this great place with lots of room for fun. Hybrid solar system. Unlimited WiFi. Organic veggie garden.","4.82","4.8","4.8","4.7","4.8",4.82,"4.8","4.8",204,"$56","","$44","$324",-17.87903,31.07828
"https://www.airbnb.com/rooms/39333474?search_mode=regular_search&adults=1&category_tag=Tag%3A8174&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&photo_id=1767189151&source_impression_id=p3_1741363945_P3S1RrGPJLh6FK8r&previous_page_section_name=1000","Zumbane Lodge 2 (Pungwe)","","39333474","Rustic stone walls with modern conveniences in an African setting. Amazing scenic views.The spaceOverlooking a typical rural African landscape and hazy blue mountains, lies a place so calm and so filled with peace. Welcome to Zumbane. The lodge is rustic yet modern. It sleep four people and provides a sense of being in the wild but has your modern conveniences. Our veranda proves to be the perfect place to lose yourself in a book or watch the sun set as you feel the strength of its glow on your cheeks. We have the perfect landscape for hiking, from short walks around the property to climbing the highest mountain in Zimbabwe. Feel free to enjoy a selection of herbal teas from our complimentary tea station.Due to the Covid-19, we have taken extra care to enhance our cleaning routine.We are disinfecting frequently touched surfaces between reservations. This includes outside areas and furniture.Each lodge has a sanitizer station by the main entrance and we encourage guests to sanitize before entering and when going out.Entrance to the lodges is very controlled. Only booked guests and staff are allowed on the 5 Acre property.","4.93","4.9","4.9","4.8","5.0",4.93,"4.7","4.8",92,"$188","","$147","$1,085",-18.21937,32.74663
